index,City,State,lat,lon,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,Unemployment,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Rent,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson,Crime Rate per 1000,Crime Rating,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Air Quality Index,Diversity Index,Nearest
341,Austin,TX,30.3004,-97.7522,1038281,524260,513917,29.8,52.4,6.2,0.2,5.9,0.0,45579.0,6808.3,25218.2,3448.7,4298.9,5466.4,579384,1281.2,76.5,13.7,7.0,0.1,15697.6,4709.8,6627.0,2298.0,1748.1,73.2,8.3,3.1,2.0,2.2,8.2,23.6,1549,2020,986062,3953,32,534,971,2416,36588,4344,29216,3028,103,41.11,Medium,183,135,47,0,1,0,0,153,59,44,1,3,85,0,94,0,Good,0.6292915531176559,"342,205,47,86,90"
342,Austin,TX,30.3004,-97.7522,1038281,524260,513917,29.8,52.4,6.2,0.2,5.9,0.0,45579.0,6808.3,25218.2,3448.7,4298.9,5466.4,579384,1281.2,76.5,13.7,7.0,0.1,15697.6,4709.8,6627.0,2298.0,1748.1,73.2,8.3,3.1,2.0,2.2,8.2,23.6,1046,2020,986062,3953,32,534,971,2416,36588,4344,29216,3028,103,41.11,Medium,183,135,47,0,1,0,0,153,59,44,1,3,85,0,94,0,Good,0.6292915531176559,"341,205,90,47,86"
353,Houston,TX,29.7863,-95.3889,3073168,1532230,1540685,43.0,26.2,20.9,0.1,6.9,0.0,39782.3,7035.7,21533.6,3230.1,16261.1,22972.7,1489149,5310.4,83.1,8.7,6.4,0.1,28153.7,15058.1,17632.6,9870.3,10350.7,77.1,10.4,3.3,1.7,2.1,3.3,26.3,1259,2020,2355606,25257,275,1249,9147,14586,101750,17038,71614,13098,485,53.92,High,183,84,89,8,2,0,0,179,90,53,1,6,89,0,86,1,Moderate,0.6980132176949707,"354,132,364,33,348"
354,Houston,TX,29.7863,-95.3889,3073168,1532230,1540685,43.0,26.2,20.9,0.1,6.9,0.0,39782.3,7035.7,21533.6,3230.1,16261.1,22972.7,1489149,5310.4,83.1,8.7,6.4,0.1,28153.7,15058.1,17632.6,9870.3,10350.7,77.1,10.4,3.3,1.7,2.1,3.3,26.3,749,2020,2355606,25257,275,1249,9147,14586,101750,17038,71614,13098,485,53.92,High,183,84,89,8,2,0,0,179,90,53,1,6,89,0,86,1,Moderate,0.6980132176949707,"353,132,364,33,348"
366,Tyler,TX,32.3184,-95.3062,146462,70106,76324,22.3,53.2,18.4,0.2,1.3,0.1,20123.5,3643.2,10484.3,1693.9,1209.0,1561.2,65336,392.1,81.0,10.4,5.3,0.1,1942.6,1336.2,1458.4,735.1,946.3,82.3,8.1,0.2,1.0,2.0,2.7,21.5,1151,2020,106851,401,0,72,58,271,3206,439,2597,170,0,33.76,Medium,182,172,10,0,0,0,0,84,48,36,0,2,180,0,0,0,Good,0.6332210162022653,"367,357,195,113,92"
367,Tyler,TX,32.3184,-95.3062,146462,70106,76324,22.3,53.2,18.4,0.2,1.3,0.1,20123.5,3643.2,10484.3,1693.9,1209.0,1561.2,65336,392.1,81.0,10.4,5.3,0.1,1942.6,1336.2,1458.4,735.1,946.3,82.3,8.1,0.2,1.0,2.0,2.7,21.5,780,2020,106851,401,0,72,58,271,3206,439,2597,170,0,33.76,Medium,182,172,10,0,0,0,0,84,48,36,0,2,180,0,0,0,Good,0.6332210162022653,"366,357,195,194,113"
381,Richmond,VA,37.5295,-77.4756,386657,183004,203597,7.6,45.3,39.5,0.2,2.3,0.0,32355.8,5534.2,18862.3,2906.0,3064.9,4082.9,194155,1267.6,79.3,14.9,3.9,0.1,6491.3,3173.4,3940.6,1187.9,1632.8,75.3,9.5,3.7,3.2,2.4,3.7,21.6,1252,2020,230721,1068,55,45,385,583,8074,986,6234,854,44,39.62,Medium,276,262,14,0,0,0,0,71,48,38,1,17,210,0,47,1,Good,0.6324585038095878,"382,317,224,226,264"
382,Richmond,VA,37.5295,-77.4756,386657,183004,203597,7.6,45.3,39.5,0.2,2.3,0.0,32355.8,5534.2,18862.3,2906.0,3064.9,4082.9,194155,1267.6,79.3,14.9,3.9,0.1,6491.3,3173.4,3940.6,1187.9,1632.8,75.3,9.5,3.7,3.2,2.4,3.7,21.6,895,2020,230721,1068,55,45,385,583,8074,986,6234,854,44,39.62,Medium,276,262,14,0,0,0,0,71,48,38,1,17,210,0,47,1,Good,0.6324585038095878,"381,317,224,226,264"
386,Rutland,VT,43.6091,-72.9782,19107,9462,9641,1.0,95.6,1.0,0.1,1.2,0.0,29476.9,4941.5,18031.0,2314.8,92.1,151.7,9371,31.2,78.4,12.0,6.1,0.0,273.5,145.9,162.2,70.4,66.7,77.7,7.1,1.7,5.0,0.7,4.2,16.7,960,2020,15191,67,0,13,5,49,415,64,330,21,6,31.73,Medium,183,163,20,0,0,0,0,81,51,39,1,0,137,0,45,0,Good,0.0857229107610179,"387,408,200,303,328"
387,Rutland,VT,43.6091,-72.9782,19107,9462,9641,1.0,95.6,1.0,0.1,1.2,0.0,29476.9,4941.5,18031.0,2314.8,92.1,151.7,9371,31.2,78.4,12.0,6.1,0.0,273.5,145.9,162.2,70.4,66.7,77.7,7.1,1.7,5.0,0.7,4.2,16.7,960,2020,4096,7,0,4,0,3,53,12,38,3,0,14.65,Low,183,163,20,0,0,0,0,81,51,39,1,0,137,0,45,0,Good,0.0857229107610179,"386,408,303,200,326"
399,Spokane,WA,47.6671,-117.43299999999999,344492,168896,175534,5.0,84.4,1.5,1.1,2.1,0.5,26255.2,3842.4,14292.2,1926.2,2417.7,2975.7,156825,901.2,78.0,13.6,4.9,0.1,5155.1,2694.9,3630.1,1087.3,1637.3,75.4,8.4,2.9,2.8,1.4,4.2,19.4,1067,2020,220432,1520,6,230,311,973,13048,1743,10026,1279,45,66.09,High,244,193,51,0,0,0,0,87,56,37,0,0,104,0,127,13,Good,0.2843526686734922,"400,211,335,281,274"
400,Spokane,WA,47.6671,-117.43299999999999,344492,168896,175534,5.0,84.4,1.5,1.1,2.1,0.5,26255.2,3842.4,14292.2,1926.2,2417.7,2975.7,156825,901.2,78.0,13.6,4.9,0.1,5155.1,2694.9,3630.1,1087.3,1637.3,75.4,8.4,2.9,2.8,1.4,4.2,19.4,1067,2020,100983,311,1,38,82,190,4465,483,3626,356,4,47.3,High,244,193,51,0,0,0,0,87,56,37,0,0,104,0,127,13,Good,0.2843526686734922,"399,284,281,335,203"
406,Beloit,WI,42.523,-89.0184,47855,23079,24771,12.0,74.5,8.2,0.1,1.2,0.0,33632.7,5286.2,16535.1,1948.0,323.6,505.0,20773,142.9,84.8,9.9,4.0,0.1,447.6,305.4,382.5,138.6,451.4,80.7,8.7,0.3,3.8,1.5,3.3,20.8,907,2020,37025,154,4,19,31,100,1114,122,921,71,11,34.25,Medium,99,90,6,3,0,0,0,105,50,40,0,0,99,0,0,0,Good,0.423714018263886,"407,199,410,414,415"
407,Beloit,WI,42.523,-89.0184,47855,23079,24771,12.0,74.5,8.2,0.1,1.2,0.0,33632.7,5286.2,16535.1,1948.0,323.6,505.0,20773,142.9,84.8,9.9,4.0,0.1,447.6,305.4,382.5,138.6,451.4,80.7,8.7,0.3,3.8,1.5,3.3,20.8,907,2020,7707,7,0,2,2,3,126,23,95,8,0,17.26,Low,99,90,6,3,0,0,0,105,50,40,0,0,99,0,0,0,Good,0.423714018263886,"406,414,410,415,199"
